Boundary Type, .005, .010, .015, .020, .025, .030, .035, .040, .045, .050, >.050, Average Delta, Number of Boundaries, Number of Positive Deltas, Number of Negative Deltas, STD of Delta
consonants-nasals, 16.18, 24.9, 34.44, 43.57, 49.38, 55.6, 62.24, 65.56, 70.12, 74.69, 100.0, -0.0088119267424, 241, 79, 150, 0.00302634869827
stopsVoiceless-trill, 26.67, 40.0, 53.33, 60.0, 66.67, 66.67, 86.67, 86.67, 93.33, 93.33, 100.0, 0.00953674881514, 15, 10, 4, 0.000467215551189
stopsVoiceless-consonants, 23.15, 45.37, 57.41, 66.67, 69.44, 76.85, 83.33, 87.04, 92.59, 95.37, 100.0, 7.23227327068e-05, 108, 49, 54, 0.000907390012794
stopsVoiceless-approx, 15.79, 52.63, 63.16, 68.42, 68.42, 89.47, 94.74, 94.74, 94.74, 94.74, 100.0, 0.0177932901185, 19, 12, 6, 0.00203885126281
fric-stopsVoiceless, 24.64, 34.78, 47.83, 65.22, 72.46, 79.71, 86.96, 88.41, 91.3, 92.75, 100.0, -0.0125209062453, 69, 15, 53, 0.000397951025072
stops-stopsVoiced, 0.0, 9.09, 18.18, 36.36, 45.45, 45.45, 54.55, 72.73, 72.73, 81.82, 100.0, -0.00251460709013, 11, 6, 5, 0.001186795236
fricVoiced-trill, 45.0, 65.0, 65.0, 90.0, 95.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00307209168585, 20, 6, 13, 0.000144571870198
fric-vowels, 34.58, 60.39, 73.29, 82.4, 87.23, 89.79, 92.2, 93.93, 94.76, 96.34, 100.0, 0.00264568293061, 1449, 667, 656, 0.000510616152607
fricVoiceless-nasals, 18.18, 27.27, 40.91, 50.0, 54.55, 63.64, 72.73, 77.27, 77.27, 77.27, 100.0, 0.0268453620616, 22, 19, 3, 0.000552174892739
phones-trill, 38.11, 57.27, 68.13, 79.21, 84.06, 87.53, 91.45, 93.07, 94.23, 95.38, 100.0, -0.00249222134008, 433, 159, 231, 0.000703292856872
nasals-stopsVoiced, 36.67, 53.33, 60.0, 76.67, 80.0, 90.0, 93.33, 93.33, 93.33, 93.33, 100.0, 0.0163022545858, 30, 23, 4, 0.000799625590218
stopsVoiceless-stopsVoiceless, 17.65, 35.29, 47.06, 58.82, 64.71, 70.59, 76.47, 82.35, 94.12, 94.12, 100.0, -0.0205963447426, 17, 0, 15, 0.000286048295821
consonants-stopsVoiced, 31.75, 46.03, 54.76, 66.67, 73.81, 79.37, 84.92, 86.51, 89.68, 94.44, 100.0, 0.00520703705241, 126, 75, 42, 0.000714566611629
nasals-trill, 25.0, 50.0, 58.33, 83.33, 83.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -0.00385664389647, 12, 3, 7, 0.00023388992533
fricVoiced-pause, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, -0.0636700930422, 2, 0, 2, 1.7195650963e-08
fricVoiceless-fric, 26.47, 35.29, 52.94, 61.76, 67.65, 73.53, 76.47, 85.29, 91.18, 94.12, 100.0, -0.00130905613726, 34, 14, 16, 0.000748878428444
fricVoiceless-vowels, 41.56, 70.68, 83.76, 90.72, 94.41, 95.46, 96.73, 97.57, 97.89, 98.73, 100.0, 8.8770188838e-05, 948, 370, 464, 0.000264089299419
stopsVoiced-vowels, 31.98, 53.18, 67.24, 79.58, 88.25, 93.26, 96.53, 96.92, 97.88, 98.46, 100.0, -0.0111514872045, 519, 106, 385, 0.00046142412299
